iter	Passed	Remaining
0	72	125033
1	141	121354
2	217	124552
3	298	128281
4	374	128444
5	446	127642
6	516	126513
7	587	125877
8	656	124872
9	726	124311
10	798	124141
11	872	124228
12	948	124609
13	1021	124565
14	1090	123995
15	1157	123385
16	1229	123217
17	1294	122448
18	1363	122183
19	1429	121609
20	1495	121034
21	1561	120565
22	1632	120504
23	1703	120470
24	1769	120066
25	1837	119780
26	1906	119601
27	1972	119257
28	2038	118923
29	2104	118613
30	2168	118194
31	2234	117955
32	2306	117966
33	2376	117934
34	2442	117651
35	2509	117444
36	2575	117212
37	2639	116884
38	2713	117025
39	2782	116945
40	2848	116706
41	2913	116465
42	2986	116549
43	3055	116437
44	3119	116202
45	3187	116066
46	3253	115874
47	3319	115695
48	3385	115526
49	3452	115366
50	3519	115238
51	3586	115126
52	3661	115225
53	3731	115201
54	3799	115076
55	3865	114923
56	3932	114815
57	3997	114604
58	4063	114461
59	4132	114395
60	4196	114205
61	4268	114214
62	4338	114179
63	4404	114022
64	4470	113885
65	4537	113782
66	4603	113652
67	4668	113494
68	4733	113339
69	4799	113202
70	4864	113044
71	4935	113044
72	5007	113047
73	5076	112981
74	5141	112837
75	5208	112736
76	5274	112623
77	5340	112497
78	5402	112287
79	5470	112205
80	5535	112082
81	5602	111986
82	5673	111968
83	5743	111936
84	5812	111866
85	5877	111743
86	5942	111607
87	6010	111542
88	6077	111446
89	6145	111377
90	6213	111288
91	6289	111362
92	6360	111339
93	6427	111248
94	6492	111118
95	6558	111023
96	6626	110947
97	6696	110897
98	6763	110804
99	6831	110745
100	6897	110634
101	6966	110583
102	7035	110514
103	7100	110406
104	7166	110302
105	7229	110144
106	7297	110070
107	7362	109956
108	7429	109873
109	7494	109763
110	7563	109701
111	7633	109669
112	7710	109722
113	7781	109693
114	7847	109586
115	7911	109467
116	7975	109340
117	8041	109246
118	8108	109154
119	8174	109057
120	8240	108960
121	8308	108899
122	8378	108856
123	8447	108797
124	8514	108717
125	8581	108635
126	8647	108535
127	8710	108409
128	8777	108329
129	8843	108232
130	8908	108130
131	8977	108068
132	9048	108040
133	9117	107978
134	9181	107860
135	9246	107767
136	9313	107681
137	9378	107583
138	9446	107508
139	9513	107433
140	9581	107367
141	9649	107296
142	9723	107297
143	9793	107252
144	9862	107197
145	9929	107112
146	9993	107003
147	10058	106904
148	10124	106811
149	10188	106703
150	10253	106604
151	10320	106529
152	10391	106499
153	10460	106439
154	10524	106331
155	10589	106233
156	10660	106202
157	10727	106120
158	10792	106026
159	10857	105928
160	10923	105842
161	10991	105778
162	11063	105747
163	11137	105738
164	11203	105649
165	11271	105584
166	11339	105515
167	11406	105443
168	11473	105365
169	11536	105251
170	11602	105166
171	11670	105100
172	11743	105077
173	11816	105054
174	11881	104965
175	11947	104883
176	12014	104806
177	12081	104730
178	12147	104647
179	12214	104565
180	12279	104475
181	12344	104385
182	12414	104333
183	12485	104290
184	12551	104213
185	12617	104130
186	12687	104078
187	12759	104041
188	12834	104036
189	12907	104005
190	12971	103908
191	13038	103828
192	13109	103789
193	13177	103724
194	13244	103650
195	13314	103596
196	13378	103498
197	13441	103394
198	13506	103303
199	13572	103218
200	13637	103132
201	13709	103094
202	13780	103047
203	13849	102987
204	13916	102912
205	13983	102839
206	14048	102752
207	14112	102654
208	14179	102578
209	14245	102502
210	14310	102413
211	14380	102360
212	14452	102324
213	14522	102270
214	14593	102221
215	14666	102189
216	14738	102149
217	14808	102097
218	14879	102053
219	14947	101982
220	15019	101942
221	15090	101896
222	15163	101862
223	15236	101827
224	15305	101765
225	15375	101712
226	15447	101666
227	15516	101607
228	15587	101558
229	15658	101507
230	15733	101484
231	15810	101474
232	15887	101463
233	15961	101428
234	16024	101332
235	16093	101268
236	16165	101219
237	16231	101139
238	16305	101107
239	16378	101070
240	16448	101013
241	16519	100960
242	16587	100891
243	16654	100814
244	16722	100743
245	16790	100673
246	16854	100582
247	16920	100501
248	16986	100416
249	17051	100328
250	17122	100280
251	17196	100247
252	17265	100181
253	17332	100103
254	17399	100030
255	17465	99946
256	17529	99855
257	17594	99771
258	17658	99679
259	17731	99636
260	17807	99613
261	17877	99555
262	17944	99481
263	18010	99398
264	18074	99304
265	18138	99215
266	18204	99137
267	18271	99063
268	18337	98982
269	18402	98896
270	18472	98838
271	18540	98766
272	18608	98697
273	18674	98620
274	18735	98514
275	18800	98429
276	18870	98371
277	18936	98291
278	19003	98221
279	19068	98133
280	19139	98078
281	19210	98029
282	19276	97949
283	19342	97870
284	19410	97799
285	19475	97716
286	19541	97638
287	19608	97565
288	19674	97487
289	19741	97413
290	19814	97368
291	19884	97309
292	19952	97241
293	20015	97150
294	20083	97081
295	20148	96999
296	20213	96913
297	20276	96825
298	20342	96746
299	20405	96654
300	20477	96603
301	20545	96538
302	20612	96464
303	20674	96367
304	20741	96293
305	20806	96214
306	20873	96139
307	20936	96049
308	21003	95976
309	21068	95896
310	21138	95837
311	21210	95786
312	21280	95727
313	21346	95653
314	21413	95578
315	21480	95508
316	21551	95452
317	21619	95383
318	21686	95312
319	21755	95249
320	21827	95196
321	21899	95145
322	21966	95073
323	22031	94993
324	22097	94916
325	22163	94841
326	22231	94772
327	22297	94698
328	22362	94617
329	22431	94552
330	22501	94491
331	22572	94436
332	22637	94355
333	22705	94287
334	22775	94227
335	22845	94171
336	22912	94096
337	22979	94024
338	23045	93947
339	23109	93864
340	23181	93815
341	23251	93755
342	23318	93681
343	23385	93609
344	23453	93541
345	23520	93469
346	23585	93390
347	23651	93312
348	23721	93254
349	23787	93180
350	23862	93137
351	23932	93077
352	23999	93007
353	24063	92923
354	24129	92847
355	24194	92766
356	24258	92685
357	24322	92603
358	24390	92535
359	24453	92448
360	24527	92401
361	24596	92339
362	24664	92271
363	24734	92210
364	24802	92142
365	24872	92083
366	24938	92007
367	25005	91936
368	25070	91855
369	25138	91788
370	25208	91728
371	25277	91664
372	25344	91594
373	25413	91527
374	25477	91448
375	25546	91382
376	25610	91301
377	25677	91229
378	25742	91151
379	25810	91083
380	25883	91032
381	25954	90975
382	26020	90902
383	26086	90827
384	26147	90736
385	26213	90662
386	26281	90591
387	26346	90514
388	26412	90440
389	26479	90371
390	26550	90313
391	26617	90242
392	26684	90170
393	26751	90100
394	26818	90030
395	26885	89957
396	26952	89887
397	27017	89809
398	27085	89741
399	27152	89671
400	27223	89613
401	27290	89542
402	27359	89478
403	27425	89405
404	27489	89322
405	27555	89249
406	27622	89179
407	27688	89106
408	27763	89060
409	27833	89000
410	27909	88957
411	27979	88896
412	28053	88846
413	28122	88782
414	28186	88701
415	28248	88616
416	28312	88534
417	28377	88459
418	28446	88393
419	28512	88321
420	28580	88254
421	28649	88187
422	28713	88108
423	28777	88030
424	28843	87955
425	28908	87879
426	28976	87812
427	29042	87739
428	29109	87666
429	29175	87595
430	29247	87537
431	29318	87479
432	29385	87409
433	29453	87341
434	29518	87265
435	29582	87188
436	29649	87116
437	29717	87048
438	29782	86972
439	29850	86904
440	29922	86850
441	29990	86781
442	30056	86708
443	30123	86639
444	30188	86561
445	30256	86496
446	30323	86425
447	30390	86355
448	30455	86279
449	30524	86214
450	30597	86161
451	30670	86107
452	30744	86057
453	30819	86008
454	30892	85956
455	30962	85893
456	31029	85823
457	31097	85757
458	31168	85697
459	31246	85655
460	31319	85601
461	31390	85541
462	31462	85484
463	31532	85424
464	31604	85365
465	31672	85298
466	31740	85229
467	31811	85169
468	31885	85119
469	31962	85075
470	32035	85019
471	32104	84953
472	32172	84886
473	32240	84817
474	32307	84747
475	32377	84685
476	32453	84638
477	32522	84571
478	32596	84518
479	32663	84447
480	32732	84383
481	32806	84330
482	32873	84260
483	32937	84181
484	33003	84108
485	33071	84039
486	33137	83965
487	33203	83892
488	33274	83833
489	33343	83768
490	33414	83706
491	33480	83632
492	33545	83557
493	33610	83482
494	33677	83411
495	33743	83337
496	33814	83278
497	33883	83211
498	33958	83160
499	34028	83097
500	34093	83021
501	34158	82945
502	34226	82878
503	34294	82809
504	34358	82731
505	34427	82667
506	34492	82590
507	34561	82524
508	34639	82481
509	34710	82421
510	34774	82341
511	34841	82273
512	34905	82194
513	34973	82126
514	35038	82052
515	35103	81975
516	35169	81903
517	35234	81828
518	35307	81771
519	35377	81709
520	35444	81639
521	35512	81570
522	35579	81499
523	35644	81425
524	35711	81354
525	35775	81277
526	35844	81211
527	35913	81144
528	35983	81082
529	36055	81022
530	36121	80949
531	36185	80872
532	36249	80795
533	36317	80728
534	36387	80664
535	36455	80596
536	36517	80516
537	36589	80455
538	36663	80400
539	36732	80336
